,time,open,high,low,close,tick_volume,spread,real_volume
0,2020-01-02,1.29839,1.30083,1.29688,1.29865,36044,0,0
1,2020-01-03,1.29785,1.30072,1.29611,1.30051,43893,0,0
2,2020-01-06,1.2986,1.2990300000000001,1.29602,1.29649,34485,0,0
3,2020-01-07,1.29637,1.30297,1.2957,1.30036,33281,0,0
4,2020-01-08,1.30045,1.30437,1.29763,1.30389,53334,0,0
5,2020-01-09,1.30393,1.31048,1.30261,1.30556,37728,0,0
6,2020-01-10,1.30554,1.3075700000000001,1.3029,1.30545,36092,0,0
7,2020-01-13,1.30499,1.30677,1.30316,1.3056,32050,0,0
8,2020-01-14,1.30562,1.30797,1.3047,1.30623,33441,0,0
9,2020-01-15,1.30609,1.30783,1.30352,1.30424,37032,0,0
10,2020-01-16,1.30414,1.30564,1.30324,1.30408,34483,0,0
11,2020-01-17,1.30416,1.30753,1.3034,1.3067199999999999,32561,0,0
12,2020-01-20,1.30573,1.30725,1.30436,1.30467,22119,0,0
13,2020-01-21,1.30463,1.308,1.30446,1.30704,31594,0,0
14,2020-01-22,1.30698,1.3152599999999999,1.3035999999999999,1.3134000000000001,38817,0,0
15,2020-01-23,1.31348,1.3171599999999999,1.31241,1.3127499999999999,37467,0,0
16,2020-01-24,1.31265,1.31529,1.31182,1.31482,32914,0,0
17,2020-01-27,1.3149,1.31997,1.31479,1.3194,42148,0,0
18,2020-01-28,1.31939,1.3206,1.31545,1.31555,31624,0,0
19,2020-01-29,1.31554,1.32095,1.3155299999999999,1.31979,28014,0,0
20,2020-01-30,1.3198699999999999,1.32268,1.31884,1.3208199999999999,37777,0,0
21,2020-01-31,1.32083,1.3253300000000001,1.31954,1.32356,41794,0,0
22,2020-02-03,1.32339,1.33038,1.32318,1.32861,39992,0,0
23,2020-02-04,1.32852,1.33018,1.32638,1.32778,36564,0,0
24,2020-02-05,1.32762,1.3302800000000001,1.3263,1.32813,40098,0,0
25,2020-02-06,1.32816,1.33091,1.32703,1.32839,33916,0,0
26,2020-02-07,1.32837,1.33212,1.32781,1.33052,39395,0,0
27,2020-02-10,1.33,1.33294,1.32885,1.33171,38903,0,0
28,2020-02-11,1.33165,1.33201,1.32766,1.32871,31110,0,0
29,2020-02-12,1.32862,1.3296000000000001,1.32359,1.32496,31484,0,0
30,2020-02-13,1.32493,1.32714,1.32404,1.32674,39058,0,0
31,2020-02-14,1.32673,1.3269199999999999,1.32358,1.3250199999999999,26279,0,0
32,2020-02-17,1.32484,1.32546,1.32252,1.32347,16810,0,0
33,2020-02-18,1.32343,1.32785,1.32294,1.3259,28806,0,0
34,2020-02-19,1.32598,1.32606,1.32152,1.32199,30870,0,0
35,2020-02-20,1.322,1.3268900000000001,1.32117,1.32592,40044,0,0
36,2020-02-21,1.32576,1.3268499999999999,1.32022,1.3226,40969,0,0
37,2020-02-24,1.32519,1.33078,1.32424,1.32922,51157,0,0
38,2020-02-25,1.32931,1.33059,1.32674,1.32798,54459,0,0
39,2020-02-26,1.32781,1.33354,1.32715,1.33344,60959,0,0
40,2020-02-27,1.3332,1.33945,1.33167,1.33942,68985,0,0
41,2020-02-28,1.33905,1.34646,1.3378,1.33928,102051,0,0
42,2020-03-02,1.34324,1.34393,1.3315000000000001,1.33222,89354,0,0
43,2020-03-03,1.33199,1.33911,1.33188,1.33888,91434,0,0
