,time,open,high,low,close,tick_volume,spread,real_volume
0,2020-01-02,1517.97,1531.39,1517.23,1528.81,117976,2,0
1,2020-01-03,1527.43,1553.57,1527.43,1551.64,176676,2,0
2,2020-01-06,1558.55,1588.0,1558.55,1565.78,179638,2,0
3,2020-01-07,1564.34,1577.33,1555.34,1573.41,159798,2,0
4,2020-01-08,1576.72,1611.39,1552.26,1555.94,251766,2,0
5,2020-01-09,1556.99,1561.34,1540.27,1552.18,149275,2,0
6,2020-01-10,1552.45,1563.18,1545.75,1562.3,120258,2,0
7,2020-01-13,1559.33,1561.49,1546.58,1547.96,97541,2,0
8,2020-01-14,1547.72,1548.89,1535.95,1546.23,128493,2,0
9,2020-01-15,1546.27,1558.19,1545.98,1556.3,116001,2,0
10,2020-01-16,1556.38,1558.11,1548.04,1552.42,93428,2,0
11,2020-01-17,1552.63,1561.28,1549.42,1557.12,90815,2,0
12,2020-01-20,1557.23,1562.76,1556.37,1560.7,43676,2,0
13,2020-01-21,1560.85,1568.63,1546.38,1558.17,124295,2,0
14,2020-01-22,1558.79,1559.28,1550.2,1558.79,89764,2,0
15,2020-01-23,1558.63,1567.97,1551.94,1562.79,124840,2,0
16,2020-01-24,1562.49,1575.83,1556.56,1571.42,115473,2,0
17,2020-01-27,1581.21,1588.51,1575.9,1581.86,161369,2,0
18,2020-01-28,1581.58,1583.07,1565.57,1567.88,126782,2,0
19,2020-01-29,1566.89,1578.04,1563.4,1576.76,111605,2,0
20,2020-01-30,1576.07,1585.99,1572.3,1573.89,163998,2,0
21,2020-01-31,1574.27,1590.44,1570.98,1589.17,161424,2,0
22,2020-02-03,1593.12,1593.63,1569.7,1576.67,156669,2,0
23,2020-02-04,1577.23,1579.68,1549.08,1552.7,132552,2,0
24,2020-02-05,1552.59,1562.42,1547.51,1556.61,153605,2,0
25,2020-02-06,1556.07,1568.28,1552.54,1566.61,128638,2,0
26,2020-02-07,1566.43,1574.05,1561.17,1570.25,138997,2,0
27,2020-02-10,1572.04,1577.03,1568.0,1572.06,127690,2,0
28,2020-02-11,1571.83,1574.05,1562.16,1567.79,105885,2,0
29,2020-02-12,1567.59,1570.48,1561.81,1565.8,97150,2,0
30,2020-02-13,1566.15,1578.28,1565.59,1575.94,138683,2,0
31,2020-02-14,1575.96,1584.99,1573.08,1583.98,106363,2,0
32,2020-02-17,1581.52,1583.79,1578.9,1581.15,44816,2,0
33,2020-02-18,1584.48,1605.13,1582.43,1601.41,126991,2,0
